date,open,ceilingPrice,floorPrice,close
2013-01-02,5.9,6.3,5.5,6.3
2013-01-03,6.4,6.7,5.9,6.2
2013-01-04,6.2,6.6,5.8,6.6
2013-01-07,6.6,7.0,6.2,6.5
2013-01-08,6.4,6.9,6.1,6.8
2013-01-09,6.9,7.2,6.4,6.4
2013-01-10,6.4,6.9,6.1,6.7
2013-01-11,6.8,7.1,6.3,6.7
2013-01-14,6.8,7.1,6.3,6.7
2013-01-15,6.7,7.3,6.1,7.1
2013-01-16,7.2,7.8,6.4,7.0
2013-01-17,6.9,7.7,6.3,6.8
2013-01-18,6.7,7.3,6.1,6.8
2013-01-21,6.8,7.4,6.2,6.7
2013-01-22,6.7,7.3,6.1,6.4
2013-01-23,6.4,7.0,5.8,6.5
2013-01-24,6.6,7.0,5.8,6.7
2013-01-25,6.7,7.3,6.1,6.7
2013-01-28,6.8,7.4,6.2,7.0
2013-01-29,6.8,7.7,6.3,7.3
2013-01-30,7.4,8.0,6.6,7.4
2013-01-31,7.4,8.1,6.7,7.1
2013-02-01,7.1,7.8,6.4,7.1
2013-02-04,7.2,7.8,6.4,7.3
2013-02-05,7.2,7.9,6.5,7.2
2013-02-06,7.2,7.9,6.5,7.4
2013-02-07,7.4,8.1,6.7,7.8
2013-02-08,7.8,8.9,7.3,8.1
2013-02-18,8.2,8.9,7.3,8.0
2013-02-19,8.0,8.9,7.3,7.8
2013-02-20,7.8,8.6,7.2,8.2
2013-02-21,8.2,9.0,7.4,7.5
2013-02-22,7.5,8.1,6.7,7.8
2013-02-25,7.9,8.4,7.0,7.7
2013-02-26,7.7,8.4,7.0,7.2
2013-02-27,7.2,7.9,6.5,7.4
2013-02-28,7.2,8.0,6.6,7.4
2013-03-01,7.3,8.1,6.7,7.4
2013-03-04,7.3,8.1,6.7,6.8
2013-03-05,6.9,7.4,6.2,6.6
2013-03-06,6.6,7.2,6.0,7.0
2013-03-07,7.0,7.7,6.3,6.8
2013-03-08,6.7,7.3,6.1,6.9
2013-03-11,6.8,7.5,6.3,7.2
2013-03-12,7.2,7.9,6.5,7.1
2013-03-13,7.2,7.8,6.4,6.9
2013-03-14,6.9,7.5,6.3,7.0
2013-03-15,6.9,7.5,6.3,7.0
2013-03-18,7.0,7.7,6.3,6.8
2013-03-19,6.8,7.4,6.2,6.8
2013-03-20,6.8,7.3,6.1,6.9
2013-03-21,6.9,7.5,6.3,6.8
2013-03-22,6.9,7.5,6.3,6.8
2013-03-25,6.7,7.3,6.1,6.9
2013-03-26,6.8,7.4,6.2,6.8
2013-03-27,6.7,7.3,6.1,6.7
2013-03-28,6.7,7.3,6.1,6.6
2013-03-29,6.5,7.2,6.0,6.6
2013-04-01,6.6,7.2,6.0,7.0
2013-04-02,7.0,7.5,6.3,6.8
2013-04-03,6.8,7.4,6.2,6.9
2013-04-04,6.8,7.4,6.2,6.7
2013-04-05,6.7,7.3,6.1,6.9
2013-04-08,7.0,7.5,6.3,7.3
2013-04-09,7.4,8.0,6.6,7.3
2013-04-10,7.3,8.0,6.6,6.9
2013-04-11,6.9,7.5,6.3,7.0
2013-04-12,7.0,7.7,6.3,6.8
2013-04-15,6.8,7.4,6.2,6.6
2013-04-16,6.6,7.2,6.0,6.7
2013-04-17,6.6,7.2,6.0,6.6
2013-04-18,6.6,7.2,6.0,6.5
2013-04-22,6.5,7.1,5.9,6.3
2013-04-23,6.4,6.9,5.7,6.5
2013-04-24,6.4,7.0,5.8,6.5
2013-04-25,6.5,7.1,5.9,6.6
2013-04-26,6.6,7.2,6.0,6.6
2013-05-02,6.6,7.2,6.0,6.5
2013-05-03,6.3,7.1,5.9,6.7
2013-05-06,6.7,7.3,6.1,7.1
2013-05-07,7.1,7.8,6.4,6.9
2013-05-08,6.9,7.5,6.3,6.8
2013-05-09,6.4,7.4,6.2,6.9
2013-05-10,6.9,7.5,6.3,6.8
2013-05-13,6.9,7.5,6.3,6.9
2013-05-14,6.9,7.5,6.3,6.7
2013-05-15,6.8,7.4,6.2,6.8
2013-05-16,6.8,7.4,6.2,6.9
2013-05-17,6.8,7.5,6.3,6.8
2013-05-20,6.9,7.4,6.2,7.0
2013-05-21,6.9,7.5,6.3,7.0
2013-05-22,6.9,7.7,6.3,7.2
2013-05-23,7.2,7.9,6.5,7.0
2013-05-24,7.1,7.7,6.3,7.2
2013-05-27,7.3,7.9,6.5,7.5
2013-05-28,7.5,8.2,6.8,7.6
2013-05-29,7.6,8.3,6.9,7.5
2013-05-30,7.5,8.2,6.8,7.7
2013-05-31,7.7,8.3,6.9,7.4
2013-06-03,7.4,8.1,6.7,7.5
2013-06-04,7.4,8.1,6.7,7.2
2013-06-05,7.2,7.9,6.5,7.3
2013-06-06,7.3,8.0,6.6,7.4
2013-06-07,7.3,8.0,6.6,7.3
2013-06-10,7.3,8.0,6.6,7.3
2013-06-11,7.3,8.0,6.6,7.2
2013-06-12,7.2,7.9,6.5,7.2
2013-06-13,7.2,7.9,6.5,7.3
2013-06-14,7.3,7.9,6.5,7.3
2013-06-17,7.2,7.9,6.5,7.0
2013-06-18,7.0,7.7,6.3,7.0
2013-06-19,7.0,7.7,6.3,7.0
2013-06-20,7.0,7.7,6.3,7.0
2013-06-21,7.0,7.5,6.3,6.9
2013-06-24,7.0,7.5,6.3,6.9
2013-06-25,6.8,7.5,6.3,6.7
2013-06-26,6.7,7.3,6.1,6.7
2013-06-27,6.8,7.4,6.2,6.8
2013-06-28,6.9,7.5,6.3,6.9
2013-07-01,6.9,7.5,6.3,6.8
2013-07-02,6.7,7.4,6.2,6.8
2013-07-03,6.8,7.4,6.2,6.7
2013-07-04,6.7,7.3,6.1,6.7
2013-07-05,6.7,7.3,6.1,6.7
2013-07-08,6.8,7.3,6.1,6.7
2013-07-09,6.8,7.3,6.1,6.8
2013-07-10,6.8,7.3,6.1,6.7
2013-07-11,6.1,7.3,6.1,6.8
2013-07-12,6.5,7.3,6.1,6.9
2013-07-15,6.9,7.5,6.3,6.9
2013-07-16,6.9,7.5,6.3,6.9
2013-07-17,6.9,7.5,6.3,6.8
